"Space Group" "Crystal System" "Asymmetric Unit" Symmetries "Orbit Period" "Unit Cell"
63 Orthorhombic 11 x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2 16 13.677,12.607,18.497,90.0,90.0,90.0
64 Orthorhombic 20 x,y,z;-x+1/2,-y,z+1/2;x,-y,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x,y,z;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x,-y+1/2,z+1/2 16 19.40829,15.90107,17.97626,90.0,90.0,90.0
65 Orthorhombic 15 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z 16 21.233,13.302,12.676,90.0,90.0,90.0
66 Orthorhombic 6 x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2 16 11.803,10.278,9.989,90.0,90.0,90.0
67 Orthorhombic 31 x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z;-x,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x+1/2,y+1/2,z;x,-y+1/2,z 16 13.901,22.861,20.582,90.0,90.0,90.0
69 Orthorhombic 21 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;x+1/2,y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z+1/2;-x+1/2,-y,z+1/2;-x+1/2,-y+1/2,z;x,-y+1/2,-z+1/2;x+1/2,-y,-z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,y+1/2,-z;-x,-y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z+1/2;x+1/2,y,-z+1/2;x+1/2,y+1/2,-z;-x,y+1/2,z+1/2;-x+1/2,y,z+1/2;-x+1/2,y+1/2,z;x,-y+1/2,z+1/2;x+1/2,-y,z+1/2;x+1/2,-y+1/2,z 32 26.06,13.884,22.86,90.0,90.0,90.0
71 Orthorhombic 12 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2 16 19.018,14.303,7.541,90.0,90.0,90.0
72 Orthorhombic 16 x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z 16 14.709,27.536,8.317,90.0,90.0,90.0
74 Orthorhombic 11 x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z+1/2 16 8.312,18.729,13.392,90.0,90.0,90.0
81 Tetragonal 14 x,y,z;-x,-y,z;y,-x,-z;-y,x,-z 4 13.048,13.048,4.948,90.0,90.0,90.0
92 Tetragonal 7 x,y,z;-x,-y,z+1/2;x+1/2,-y+1/2,-z+3/4;-x+1/2,y+1/2,-z+1/4;-y,-x,-z+1/2;y,x,-z;y+1/2,-x+1/2,z+3/4;-y+1/2,x+1/2,z+1/4 8 9.25,9.25,10.083,90.0,90.0,90.0
115 Tetragonal 5 x,y,z;-x,-y,z;-y,-x,-z;y,x,-z;-x,y,z;x,-y,z;-y,x,-z;y,-x,-z 8 6.926,6.926,6.41,90.0,90.0,90.0
119 Tetragonal 22 x,y,z;-x,-y,z;-y,-x,-z;y,x,-z;-x,y,z;x,-y,z;-y,x,-z;y,-x,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;-y+1/2,-x+1/2,-z+1/2;y+1/2,x+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;-y+1/2,x+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2 16 20.27,20.27,13.459,90.0,90.0,90.0
124 Tetragonal 5 x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-y,-x,-z+1/2;y,x,-z+1/2;y,-x,z;-y,x,z;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;y,x,z+1/2;-y,-x,z+1/2;-y,x,-z;y,-x,-z 16 8.674,8.674,13.919,90.0,90.0,90.0
126 Tetragonal 9 x,y,z;-x+1/2,-y+1/2,z;x,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-y+1/2,-x+1/2,-z+1/2;y,x,-z+1/2;y,-x+1/2,z;-y+1/2,x,z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y+1/2,z+1/2;x+1/2,-y,z+1/2;y+1/2,x+1/2,z+1/2;-y,-x,z+1/2;-y,x+1/2,-z;y+1/2,-x,-z 16 8.621,8.621,27.544,90.0,90.0,90.0
127 Tetragonal 13 x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-y+1/2,-x+1/2,-z;y+1/2,x+1/2,-z;y,-x,z;-y,x,z;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;y+1/2,x+1/2,z;-y+1/2,-x+1/2,z;-y,x,-z;y,-x,-z 16 15.1512,15.1512,11.848,90.0,90.0,90.0
129 Tetragonal 7 x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y,-z;-x,y+1/2,-z;-y,-x,-z;y+1/2,x+1/2,-z;y,-x+1/2,z;-y+1/2,x,z;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y,z;x,-y+1/2,z;y,x,z;-y+1/2,-x+1/2,z;-y,x+1/2,-z;y+1/2,-x,-z 16 13.634,13.634,7.627,90.0,90.0,90.0
131 Tetragonal 10 x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-y,-x,-z+1/2;y,x,-z+1/2;y,-x,z+1/2;-y,x,z+1/2;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;y,x,z+1/2;-y,-x,z+1/2;-y,x,-z+1/2;y,-x,-z+1/2 16 12.77,12.77,12.977,90.0,90.0,90.0
136 Tetragonal 18 x,y,z;-x,-y,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-y,-x,-z;y,x,-z;y+1/2,-x+1/2,z+1/2;-y+1/2,x+1/2,z+1/2;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2;y,x,z;-y,-x,z;-y+1/2,x+1/2,-z+1/2;y+1/2,-x+1/2,-z+1/2 16 18.7661,18.7661,11.6939,90.0,90.0,90.0
137 Tetragonal 16 x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y,-z;-x,y+1/2,-z;-y,-x,-z+1/2;y+1/2,x+1/2,-z+1/2;y,-x+1/2,z+1/2;-y+1/2,x,z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y,z;x,-y+1/2,z;y,x,z+1/2;-y+1/2,-x+1/2,z+1/2;-y,x+1/2,-z+1/2;y+1/2,-x,-z+1/2 16 14.09663,14.09663,18.33381,90.0,90.0,90.0
138 Tetragonal 19 x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y,-z+1/2;-x,y+1/2,-z+1/2;-y,-x,-z;y+1/2,x+1/2,-z;y,-x+1/2,z+1/2;-y+1/2,x,z+1/2;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y,z+1/2;x,-y+1/2,z+1/2;y,x,z;-y+1/2,-x+1/2,z;-y,x+1/2,-z+1/2;y+1/2,-x,-z+1/2 16 10.002,10.002,34.141,90.0,90.0,90.0
